PaymentMethod,Churn,Has_Internet,Contract_Long,Contract_Short,Monthly_VeryHigh,Monthly_High,Monthly_Medium,Monthly_Low,Total_VeryHigh,Total_High,Total_Medium,Total_Low,tenure_VeryHigh,tenure_High,tenure_Medium,tenure_Low
2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
3,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
